model,crime_cat,n_cells,spearman_global,kendall_global,recall5,recall10,ndcg,pai10,pei10,nmae,smape,log_rmse,intra_spearman,intra_recall10,intra_ndcg,intra_pai,intra_n_districts,macro_intra_spearman,min_intra_spearman,macro_intra_recall10,min_intra_recall10,macro_intra_pai,min_intra_pai,macro_recall10,min_recall10,macro_ndcg,min_ndcg
M3_remote,secuestro,3353.0,0.4066504751705403,0.3730006505321502,0.4126506024096386,0.6927710843373494,0.6734703891932031,6.927710843373493,0.6927710843373494,1.1836630644290624,1.9687861789424412,0.2064771531777236,0.25449623147943534,0.2914205262271119,0.5551373631366219,2.914205262271119,34.0,,,,,,,,,,
M3_remote,__macro__,,,,,,,,,,,,,,,,,0.46352056018849347,0.25449623147943534,0.3221855574265659,0.2683687740965675,3.221855574265659,2.683687740965675,0.5711775718591365,0.48635568781445576,0.8423776621474961,0.6734703891932031
M4_meta,robo_hurto_callejero,4312.0,0.9021020438712664,0.763556343045714,0.3071465824027488,0.49094214013989446,0.8627064251695413,4.909421401398944,0.7592337800972601,0.7339357741576193,1.4892655643134949,0.8348265735845251,0.5884376894020817,0.36593778315103925,0.8742710487077365,3.659377831510392,41.0,,,,,,,,,,
M4_meta,extorsion,3573.0,0.7743812797737805,0.6850997305051227,0.3233594015640938,0.5562733764025841,0.8588296962123725,5.5627337640258405,0.7634157722818479,0.8389565996411038,1.8318480644434314,0.48831283087130817,0.38228631439425487,0.28782818562198015,0.7595545960073503,2.8782818562198016,40.0,,,,,,,,,,
M4_meta,estafa,3762.0,0.7988254598781885,0.6864729140709319,0.3847274846983387,0.5939959195569805,0.9085354252109556,5.939959195569805,0.8281186509548965,0.6335593174784317,1.6571616750756837,0.4123900024117343,0.47470895017175974,0.3182089744036306,0.8277234576329682,3.1820897440363067,39.0,,,,,,,,,,
M4_meta,violencia_familiar_sexual,4212.0,0.8923400200421718,0.7468757039025752,0.3213430355812754,0.5191886781642124,0.9031670051110291,5.191886781642124,0.803173196241801,0.5827485350566621,1.3788912402398485,0.6597238427942905,0.5926250624204026,0.3704554534403346,0.894111967967564,3.7045545344033455,41.0,,,,,,,,,,
M4_meta,secuestro,3353.0,0.3999047666882244,0.364477855736201,0.40963855421686746,0.7078313253012049,0.6706162044673486,7.078313253012048,0.7078313253012049,1.1815209648711629,1.9683550686500813,0.20696672428455754,0.25443541949283055,0.2901443372271377,0.5614789528377342,2.901443372271377,34.0,,,,,,,,,,
M4_meta,__macro__,,,,,,,,,,,,,,,,,0.4584986871762659,0.25443541949283055,0.3265149467688245,0.28782818562198015,3.265149467688245,2.8782818562198016,0.5736462879129752,0.49094214013989446,0.8407709512342494,0.6706162044673486
M4a_salud,robo_hurto_callejero,4312.0,0.9045798916570921,0.7680891811156954,0.3118480795189594,0.487414099889557,0.8701804034910371,4.8741409988955695,0.7537777250622701,0.7339825480324564,1.4890214247420923,0.8356854543334524,0.5862010387344965,0.37454673298712865,0.8866110761795606,3.745467329871286,41.0,,,,,,,,,,
M4a_salud,extorsion,3573.0,0.7724889273039092,0.683101920249794,0.33219993199591974,0.5657939476368582,0.8592264289430664,5.657939476368582,0.7764815678954737,0.8381669447747826,1.8318468028552988,0.48790813115775716,0.39966823649077166,0.28689584604179486,0.757287592858354,2.8689584604179488,40.0,,,,,,,,,,
